Question,Answer,Category
"What is the admission process for B.Tech?","Admission to B.Tech is based on the GLAET (Entrance Test) score or CUET/JEE Main ranks, followed by counseling.","Admissions"
"How can I apply for admission?","You can apply online through the official university website by filling out the registration form and paying the application fee.","Admissions"
"What is the eligibility criteria for B.Tech?","Candidates must have passed 10+2 with Physics and Mathematics as compulsory subjects along with Chemistry/Computer Science, securing a minimum of 50% marks.","Admissions"
"Are there any scholarships available?","Yes, scholarships are provided based on 10+2 merit, entrance exam scores, and for category-specific students. Details are available on the admission portal.","Admissions"
"Can I get direct admission in the second year?","Yes, lateral entry to the second year of B.Tech is available for students holding a 3-year diploma in engineering or a B.Sc degree.","Admissions"
"What documents are required during admission?","You need your 10th and 12th mark sheets, transfer certificate, migration certificate, Aadhaar card, passport-size photos, and entrance exam scorecard.","Admissions"
"Is there a hostel facility for first-year students?","Yes, separate hostels for boys and girls are available. Rooms are allotted on a first-come, first-serve basis.","Admissions"
"What is the last date to apply for admission?","The admission deadlines vary each year. Please check the 'Important Dates' section on the university website.","Admissions"
"Can I cancel my admission and get a refund?","Yes, admission cancellation and fee refunds are processed according to the UGC refund policy. Apply through the admissions office.","Admissions"
"Where is the admission cell located?","The admission cell is located in the main administrative block on the ground floor.","Admissions"
"How do I pay my semester fees?","Semester fees can be paid online through the student ERP portal using UPI, Net Banking, or Debit/Credit Cards.","Fees"
"What is the deadline for fee payment?","The fee payment deadline is usually two weeks before the start of the new semester. Exact dates are mailed to your student ID.","Fees"
"Is there a fine for late fee payment?","Yes, a late fine of Rs. 100 per day is charged if the fee is not paid by the specified deadline.","Fees"
"Can I pay my tuition fees in installments?","Generally, fees must be paid semester-wise. Installment requests are only approved under special financial circumstances by the Finance Officer.","Fees"
"How can I download my fee receipt?","You can download your official fee receipt directly from the 'Fee Details' section in your student ERP dashboard.","Fees"
"What is the hostel and mess fee structure?","Hostel and mess fees vary based on the room type (AC/Non-AC, Single/Double occupancy). Please check the hostel brochure for exact amounts.","Fees"
"Does the college provide documents for an education loan?","Yes, the accounts department provides a fee structure letter and a bonafide certificate for students applying for education loans.","Fees"
"Are there any extra charges for bus facilities?","Yes, transport fees are separate from academic fees and depend on your boarding location.","Fees"
"What should I do if my fee payment fails but money is deducted?","Wait for 24 hours. If it is not updated on the ERP, email the transaction ID and screenshot to the finance department.","Fees"
"Is the caution money refundable?","Yes, the caution deposit is fully refundable at the end of your degree after obtaining a no-dues certificate.","Fees"
"When will the mid-semester exams begin?","Mid-semester exams are typically scheduled in the 8th week of the semester. Check the academic calendar for exact dates.","Exams"
"Where can I download my exam admit card?","Admit cards can be downloaded from the student ERP portal three days before the commencement of exams.","Exams"
"What is the minimum passing marks criteria?","A student must secure at least 30% in the end-semester exam and an overall 40% (internal + external) to pass a subject.","Exams"
